"userID","qnNum","qnRT","soundFocus","volume","volumePer","playNum","rateTime","valRating","arouRating","averRatingDef","arouRatingDef"
"H9Z0EC82",60,7307,"Cicada
(IADS-E; Yang et al., 2018)",10,0.5,1,2,66,65,60,36
"US4N4TSJ",1,23751,"Sea Wave
(IADS-E; Yang et al., 2018)",9.54992586021436,1,1,1,58,65,64,64
"US4N4TSJ",2,7894,"Scream
(Morriss et al., 2015; 2016; 2020)",3.09029543251359,0.5,1,1,31,78,60,43
"US4N4TSJ",3,7912,"Metal Screech
(Zald and Pardo, 2002)",3.09029543251359,0.5,1,1,32,70,52,60
"US4N4TSJ",4,11513,"High Frequencies
(Zald and Pardo, 2002)",3.09029543251359,0.5,1,1,43,43,47,52
"US4N4TSJ",5,9752,"Cicada
(IADS-E; Yang et al., 2018)",3.09029543251359,0.5,1,1,72,37,43,45
"US4N4TSJ",6,28888,"Scream
(Morriss et al., 2015; 2016; 2020)",3.09029543251359,0.5,1,2,15,93,37,51
"US4N4TSJ",8,7279,"Pink Noise",9.54992586021436,1,1,1,44,63,62,58
"US4N4TSJ",10,12781,"5,000 Hz",9.54992586021436,1,1,1,33,75,42,56
"US4N4TSJ",11,15570,"Brownian Noise",3.09029543251359,0.5,1,1,50,43,48,48
"US4N4TSJ",12,8389,"800 Hz",9.54992586021436,1,1,1,42,74,66,40
"US4N4TSJ",13,10828,"Pink Noise",3.09029543251359,0.5,1,1,44,52,47,44
"US4N4TSJ",14,6622,"Brownian Noise",9.54992586021436,1,1,1,48,54,44,45
"US4N4TSJ",15,7509,"Cicada
(IADS-E; Yang et al., 2018)",3.09029543251359,0.5,1,2,75,37,55,65
"US4N4TSJ",16,5143,"5,000 Hz",9.54992586021436,1,1,2,34,70,50,55
"US4N4TSJ",17,8231,"Scream
(IADS-E; Yang et al., 2018)",3.09029543251359,0.5,1,1,74,86,57,63
"US4N4TSJ",18,10429,"Piano Melody
(IADS-E; Yang et al., 2018)",3.09029543251359,0.5,1,1,71,55,47,50
